1	0.000		#  SP1	Jan-2000
2	0.158			
3	0.043			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP2	Feb-2000
2	0.158			
3	0.155			
4	0.875			
5	0.000			
6	0.000			
1	0.500		#  SP3	Mar-2000
2	0.140			
3	0.000			
4	0.875			
5	0.000			
6	0.000			
1	0.500		#  SP4	Apr-2000
2	0.092			
3	0.000			
4	0.875			
5	0.000			
6	0.000			
1	0.154		#  SP5	May-2000
2	0.060			
3	0.000			
4	0.875			
5	0.000			
6	0.000			
1	0.086		#  SP6	Jun-2000
2	0.050			
3	0.000			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP7	Jul-2000
2	0.050			
3	0.000			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP8	Aug-2000
2	0.050			
3	0.000			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP9	Sep-2000
2	0.050			
3	0.339			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP10	Oct-2000
2	0.055			
3	0.106			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP11	Nov-2000
2	0.000			
3	0.046			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP12	Dec-2000
2	0.000			
3	0.043			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP13	Jan-2001
2	0.158			
3	0.043			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP14	Feb-2001
2	0.158			
3	0.155			
4	0.875			
5	0.000			
6	0.000			
1	0.500		#  SP15	Mar-2001
2	0.140			
3	0.000			
4	0.875			
5	0.000			
6	0.000			
1	0.500		#  SP16	Apr-2001
2	0.092			
3	0.000			
4	0.875			
5	0.000			
6	0.000			
1	0.154		#  SP17	May-2001
2	0.060			
3	0.000			
4	0.875			
5	0.000			
6	0.000			
1	0.086		#  SP18	Jun-2001
2	0.050			
3	0.000			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP19	Jul-2001
2	0.050			
3	0.000			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP20	Aug-2001
2	0.050			
3	0.000			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP21	Sep-2001
2	0.050			
3	0.339			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP22	Oct-2001
2	0.055			
3	0.106			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP23	Nov-2001
2	0.000			
3	0.046			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP24	Dec-2001
2	0.000			
3	0.043			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP25	Jan-2002
2	0.158			
3	0.043			
4	0.875			
5	0.000			
6	0.000			
1	0.000		#  SP26	Feb-2002
2	0.158			
3	0.155			
4	0.875			
5	0.000			
6	0.000			
